字母,种类,,,
,标准类,,非标准类,
,D,p-value,D,p-value
X101,0.27991,< 2.2e-16,0.30177,< 2.2e-16
X102,0.29945,< 2.2e-16,0.32773,< 2.2e-16
X103,0.30698,< 2.2e-16,0.34307,< 2.2e-16
X104,0.37491,< 2.2e-16,0.33444,< 2.2e-16
X105,0.44133,< 2.2e-16,0.39146,< 2.2e-16
X106,0.45307,< 2.2e-16,0.36564,< 2.2e-16
X107,0.42651,< 2.2e-16,0.39568,< 2.2e-16
X108,0.36976,< 2.2e-16,0.31813,< 2.2e-16
X109,0.42541,< 2.2e-16,0.25527,< 2.2e-16
X110,0.36133,< 2.2e-16,0.26568,< 2.2e-16
X111,0.35998,< 2.2e-16,0.27796,< 2.2e-16
X112,0.42675,< 2.2e-16,0.34175,< 2.2e-16
X113,0.42758,< 2.2e-16,0.16567,< 2.2e-16
X114,0.030898,< 2.2e-16,0.37845,< 2.2e-16
X115,0.3904,< 2.2e-16,0.4112,< 2.2e-16
X116,0.45011,< 2.2e-16,0.36819,< 2.2e-16
X117,0.39647,< 2.2e-16,0.40773,< 2.2e-16
X118,0.28279,< 2.2e-16,0.27368,< 2.2e-16
X119,0.4911,< 2.2e-16,0.51071,< 2.2e-16
X120,0.2813,< 2.2e-16,0.28074,< 2.2e-16
X121,0.4899,< 2.2e-16,0.51781,< 2.2e-16
X122,0.4191,< 2.2e-16,0.37913,< 2.2e-16
X123,0.19058,< 2.2e-16,0.40899,< 2.2e-16
X124,0.49039,< 2.2e-16,0.51741,< 2.2e-16
X125,0.38555,< 2.2e-16,0.25498,< 2.2e-16
X126,0.44264,< 2.2e-16,0.42154,< 2.2e-16
X127,0.4605,< 2.2e-16,0.48491,< 2.2e-16
X128,0.22502,< 2.2e-16,0.32685,< 2.2e-16
X129,0.35461,< 2.2e-16,0.39285,< 2.2e-16
X130,0.49072,< 2.2e-16,0.50913,< 2.2e-16
X131,0.21914,< 2.2e-16,0.31487,< 2.2e-16
X132,0.22083,< 2.2e-16,0.31925,< 2.2e-16
X201,0.39161,< 2.2e-16,0.49387,< 2.2e-16
X202,0.34485,< 2.2e-16,0.40542,< 2.2e-16
X203,0.30652,< 2.2e-16,0.48233,< 2.2e-16
X204,0.30299,< 2.2e-16,0.44844,< 2.2e-16
X205,0.45972,< 2.2e-16,0.42845,< 2.2e-16
X206,0.33258,< 2.2e-16,0.47439,< 2.2e-16
X207,0.38489,< 2.2e-16,0.46936,< 2.2e-16
X208,0.39593,< 2.2e-16,0.49161,< 2.2e-16
X209,0.14691,< 2.2e-16,0.36857,< 2.2e-16
X210,0.17232,< 2.2e-16,0.37098,< 2.2e-16
X211,0.39398,< 2.2e-16,0.471,< 2.2e-16
X212,0.34819,< 2.2e-16,0.38478,< 2.2e-16
X213,0.14691,< 2.2e-16,0.36857,< 2.2e-16
X214,0.26096,< 2.2e-16,0.41572,< 2.2e-16
X215,0.44087,< 2.2e-16,0.4196,< 2.2e-16
X216,0.4094,< 2.2e-16,0.25259,< 2.2e-16
X217,0.45582,< 2.2e-16,0.43318,< 2.2e-16
X218,0.42386,< 2.2e-16,0.43283,< 2.2e-16
X219,0.42484,< 2.2e-16,0.19099,< 2.2e-16
X220,0.29812,< 2.2e-16,0.43057,< 2.2e-16
X221,0.41307,< 2.2e-16,0.46528,< 2.2e-16
X222,0.44039,< 2.2e-16,0.27706,< 2.2e-16
X223,0.3755,< 2.2e-16,0.41558,< 2.2e-16
X224,0.03758,< 2.2e-16,0.037814,0.0022
X225,0.037591,< 2.2e-16,0.037403,0.002607
X226,0.019253,< 2.2e-16,0.37212,< 2.2e-16
X227,0.14521,< 2.2e-16,0.32943,< 2.2e-16
X228,0.12367,< 2.2e-16,0.30103,< 2.2e-16
X229,0.17952,< 2.2e-16,0.21221,< 2.2e-16
X230,0.16452,< 2.2e-16,0.18452,< 2.2e-16
X231,0.19805,< 2.2e-16,0.40273,< 2.2e-16
X232,0.44202,< 2.2e-16,0.37404,< 2.2e-16
X301,0.38383,< 2.2e-16,0.32959,< 2.2e-16
X302,0.38074,< 2.2e-16,0.27997,< 2.2e-16
X303,0.44689,< 2.2e-16,0.33952,< 2.2e-16
X304,0.38452,< 2.2e-16,0.27789,< 2.2e-16
X305,0.41865,< 2.2e-16,0.36394,< 2.2e-16
X306,0.46488,< 2.2e-16,0.34717,< 2.2e-16
X307,0.39872,< 2.2e-16,0.26197,< 2.2e-16
X308,0.42546,< 2.2e-16,0.25628,< 2.2e-16
X309,0.39233,< 2.2e-16,0.4936,< 2.2e-16
X310,0.070415,< 2.2e-16,0.098936,< 2.2e-16
X311,0.070415,< 2.2e-16,0.098936,< 2.2e-16
X312,0.30666,< 2.2e-16,0.47744,< 2.2e-16
X313,0.34819,< 2.2e-16,0.38478,< 2.2e-16
X314,0.24893,< 2.2e-16,0.40136,< 2.2e-16
X315,0.29405,< 2.2e-16,0.35562,< 2.2e-16
X316,0.17232,< 2.2e-16,0.37098,< 2.2e-16
X317,0.3982,< 2.2e-16,0.24837,< 2.2e-16
X318,0.1813,< 2.2e-16,0.37143,< 2.2e-16
X319,0.39642,< 2.2e-16,0.33153,< 2.2e-16
X320,0.45583,< 2.2e-16,0.43318,< 2.2e-16
X321,0.45583,< 2.2e-16,0.43318,< 2.2e-16
X322,0.42357,< 2.2e-16,0.22628,< 2.2e-16
X323,0.39398,< 2.2e-16,0.471,< 2.2e-16
X324,0.39476,< 2.2e-16,0.49388,< 2.2e-16
X325,0.35905,< 2.2e-16,0.29939,< 2.2e-16
X326,0.41291,< 2.2e-16,0.34897,< 2.2e-16
X327,0.35396,< 2.2e-16,0.30753,< 2.2e-16
X328,0.46347,< 2.2e-16,0.51409,< 2.2e-16
X329,0.2759,< 2.2e-16,0.51478,< 2.2e-16
X330,0.49418,< 2.2e-16,0.51575,< 2.2e-16
X331,0.46356,< 2.2e-16,0.51409,< 2.2e-16
X332,0.4715,< 2.2e-16,0.51413,< 2.2e-16
X333,0.49495,< 2.2e-16,0.51625,< 2.2e-16
X334,0.4893,< 2.2e-16,0.51309,< 2.2e-16
X335,0.48582,< 2.2e-16,0.51408,< 2.2e-16
X336,0.49164,< 2.2e-16,0.51414,< 2.2e-16
X337,0.45607,< 2.2e-16,0.51415,< 2.2e-16
X338,0.36339,< 2.2e-16,0.32572,< 2.2e-16
X339,0.31745,< 2.2e-16,0.35524,< 2.2e-16
X340,0.21764,< 2.2e-16,0.33391,< 2.2e-16
X341,0.4895,< 2.2e-16,0.4179,< 2.2e-16
X342,0.48725,< 2.2e-16,0.37667,< 2.2e-16
X343,0.47515,< 2.2e-16,0.2712,< 2.2e-16
X401,0.45676,< 2.2e-16,0.43325,< 2.2e-16
X402,0.42193,< 2.2e-16,0.47687,< 2.2e-16
X403,0.40777,< 2.2e-16,0.47062,< 2.2e-16
X404,0.47469,< 2.2e-16,0.43624,< 2.2e-16
X405,0.43689,< 2.2e-16,0.40515,< 2.2e-16
X406,0.44599,< 2.2e-16,0.42422,< 2.2e-16
X407,0.401,< 2.2e-16,0.44186,< 2.2e-16
X408,0.2749,< 2.2e-16,0.41496,< 2.2e-16
X409,0.40147,< 2.2e-16,0.43891,< 2.2e-16
X410,0.38587,< 2.2e-16,0.40296,< 2.2e-16
X411,0.38569,< 2.2e-16,0.40292,< 2.2e-16
X412,0.50221,< 2.2e-16,0.47312,< 2.2e-16
X413,0.49338,< 2.2e-16,0.45247,< 2.2e-16
X414,0.50221,< 2.2e-16,0.47306,< 2.2e-16
X415,0.49324,< 2.2e-16,0.45247,< 2.2e-16
X416,0.46472,< 2.2e-16,0.38996,< 2.2e-16
X417,0.43532,< 2.2e-16,0.44508,< 2.2e-16
X418,0.47019,< 2.2e-16,0.477,< 2.2e-16
X419,0.47962,< 2.2e-16,0.40865,< 2.2e-16
X420,0.43276,< 2.2e-16,0.47477,< 2.2e-16
X421,0.46113,< 2.2e-16,0.41702,< 2.2e-16
X422,0.40441,< 2.2e-16,0.4458,< 2.2e-16
X423,0.41442,< 2.2e-16,0.34659,< 2.2e-16
X501,0.48197,< 2.2e-16,0.44119,< 2.2e-16
X502,0.24604,< 2.2e-16,0.46167,< 2.2e-16
X503,0.49477,< 2.2e-16,0.49758,< 2.2e-16
X504,0.49667,< 2.2e-16,0.47421,< 2.2e-16
X505,0.13833,< 2.2e-16,0.25037,< 2.2e-16
X506,0.44264,< 2.2e-16,0.44534,< 2.2e-16
X507,0.1231,< 2.2e-16,0.3007,< 2.2e-16
X508,0.47706,< 2.2e-16,0.43402,< 2.2e-16
X509,0.45327,< 2.2e-16,0.45322,< 2.2e-16
X601,0.17026,< 2.2e-16,0.21978,< 2.2e-16
X602,0.16575,< 2.2e-16,0.22001,< 2.2e-16
X603,0.28469,< 2.2e-16,0.37998,< 2.2e-16
X604,0.28473,< 2.2e-16,0.38,< 2.2e-16
X605,0.16665,< 2.2e-16,0.16823,< 2.2e-16
X606,0.18322,< 2.2e-16,0.1914,< 2.2e-16
X607,0.23148,< 2.2e-16,0.084777,< 2.2e-16
X608,0.29084,< 2.2e-16,0.22198,< 2.2e-16
X609,0.16676,< 2.2e-16,0.13577,< 2.2e-16
X610,0.21625,< 2.2e-16,0.19166,< 2.2e-16
X611,0.22197,< 2.2e-16,0.081966,< 2.2e-16
X612,0.23663,< 2.2e-16,0.22527,< 2.2e-16
X613,0.28656,< 2.2e-16,0.21218,< 2.2e-16
X614,0.1559,< 2.2e-16,0.18948,< 2.2e-16
X615,0.1581,< 2.2e-16,0.18043,< 2.2e-16
X616,0.17558,< 2.2e-16,0.24352,< 2.2e-16
X617,0.41312,< 2.2e-16,0.4662,< 2.2e-16
X618,0.41237,< 2.2e-16,0.46616,< 2.2e-16
X619,0.43013,< 2.2e-16,0.40846,< 2.2e-16
X701,0.35363,< 2.2e-16,0.2712,< 2.2e-16
X702,0.35188,< 2.2e-16,0.25671,< 2.2e-16
X703,0.43129,< 2.2e-16,0.50906,< 2.2e-16
X704,0.48029,< 2.2e-16,0.51406,< 2.2e-16
X705,0.42387,< 2.2e-16,0.2518,< 2.2e-16
